EVENT_LOG | OS-Level Chat Server | 2026-04-15 21:08:52
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
269       29877.004  ACQUIRED_LOCK      tid=7   room=C  sem=-1   msgs=0    Nick
270       29877.005  RELEASED_LOCK      tid=7   room=C  sem=-1   msgs=0    Nick
271       29877.005  MSG_BROADCAST      tid=7   room=C  sem=49   msgs=7    Nick
272       29877.005  SEM_POST           tid=7   room=-  sem=50   msgs=7    Nick
273       29901.643  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
274       29901.645  ACQUIRED_LOCK      tid=0   room=A  sem=-1   msgs=0    Olivia
275       29901.646  RELEASED_LOCK      tid=0   room=A  sem=-1   msgs=0    Olivia
276       29901.646  MSG_BROADCAST      tid=0   room=A  sem=49   msgs=8    Olivia
277       29901.646  SEM_POST           tid=0   room=-  sem=50   msgs=8    Olivia
278       29924.167  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
279       29924.168  ACQUIRED_LOCK      tid=2   room=B  sem=-1   msgs=0    Paul
280       29924.169  RELEASED_LOCK      tid=2   room=B  sem=-1   msgs=0    Paul
281       29924.169  MSG_BROADCAST      tid=2   room=B  sem=49   msgs=7    Paul
282       29924.169  SEM_POST           tid=2   room=-  sem=50   msgs=7    Paul
283       29945.655  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
284       29945.655  RATE_LIMITED       tid=6   room=-  sem=-1   msgs=6    dropped: rate limit exceeded
285       29969.555  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
286       29969.558  RATE_LIMITED       tid=1   room=-  sem=-1   msgs=7    dropped: rate limit exceeded
287       29991.036  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
288       29991.038  RATE_LIMITED       tid=5   room=-  sem=-1   msgs=7    dropped: rate limit exceeded
289       30012.317  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
290       30012.319  RATE_LIMITED       tid=4   room=-  sem=-1   msgs=7    dropped: rate limit exceeded
291       30033.905  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
292       30033.907  RATE_LIMITED       tid=3   room=-  sem=-1   msgs=7    dropped: rate limit exceeded
293       30056.538  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
294       30056.540  RATE_LIMITED       tid=7   room=-  sem=-1   msgs=7    dropped: rate limit exceeded
295       30078.027  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
296       30078.029  RATE_LIMITED       tid=0   room=-  sem=-1   msgs=8    dropped: rate limit exceeded
297       30098.542  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
298       30098.545  RATE_LIMITED       tid=2   room=-  sem=-1   msgs=7    dropped: rate limit exceeded
299       30122.267  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
300       30122.270  RATE_LIMITED       tid=6   room=-  sem=-1   msgs=6    dropped: rate limit exceeded
301       30142.754  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
302       30142.756  RATE_LIMITED       tid=1   room=-  sem=-1   msgs=7    dropped: rate limit exceeded
303       30163.918  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
304       30163.921  RATE_LIMITED       tid=5   room=-  sem=-1   msgs=7    dropped: rate limit exceeded
305       30187.216  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
306       30187.219  RATE_LIMITED       tid=4   room=-  sem=-1   msgs=7    dropped: rate limit exceeded
307       30208.711  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
308       30208.714  RATE_LIMITED       tid=3   room=-  sem=-1   msgs=7    dropped: rate limit exceeded
309       30228.734  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
310       30228.736  RATE_LIMITED       tid=7   room=-  sem=-1   msgs=7    dropped: rate limit exceeded
311       30256.528  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
312       30256.531  RATE_LIMITED       tid=0   room=-  sem=-1   msgs=8    dropped: rate limit exceeded
